Power points Y
nan,nan,nan,nan,nan,nan,nan,nan,nan,127.0,1996.0,1260.0,1305.0,1221.0,1162.0,959.0,964.0,896.0,877.0,649.0,574.0,817.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1058.0,1525.0,1379.0,1057.0,864.0,786.0,806.0,710.0,751.0,763.0,870.0,661.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,201.0,2345.0,1635.0,1408.0,1491.0,1235.0,854.0,629.0,508.0,398.0,212.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,91.0,83.0,49.0,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
865.0,805.0,940.0,1039.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2636.0,1118.0,1052.0,2100.0,19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1936.0,1163.0,1085.0,1831.0,36.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1851.0,979.0,795.0,1533.0,14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,1.0,nan,nan,nan,3.0,6.0,8.0,4.0,4.0,nan,nan,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1675.0,923.0,811.0,1385.0,13.0,nan,nan,nan,nan,nan,nan,nan,nan,442.0,853.0,717.0,614.0,546.0,331.0,361.0,352.0,301.0,210.0,155.0,131.0,99.0,87.0,40.0,36.0,12.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1046.0,561.0,605.0,1259.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,214.0,315.0,277.0,207.0,202.0,142.0,187.0,149.0,131.0,112.0,100.0,76.0,68.0,47.0,19.0,16.0,15.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
973.0,565.0,477.0,873.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,123.0,228.0,226.0,140.0,133.0,110.0,146.0,80.0,110.0,56.0,70.0,71.0,69.0,36.0,27.0,20.0,17.0,20.0,8.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
960.0,450.0,412.0,951.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,388.0,301.0,177.0,25.0,80.0,64.0,45.0,9.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
